,id,frequency
1807,14532,2
1808,14533,2
1809,14534,2
1810,14535,2
1811,14536,2
1812,14537,2
1813,14538,2
1814,14539,2
1815,8106,1
1816,14554,1
1817,14801,1
1818,9889,1
1819,14824,1
1820,14746,1
1821,14741,1
1822,14786,1
1823,14731,1
1824,14756,1
1825,9846,1
1826,14671,1
1827,14844,1
1828,14497,1
1829,14793,1
1830,14754,1
1831,14666,1
1832,3631,1
1833,14795,1
1834,14798,1
1835,14688,2
1836,9545,1
1837,14817,1
1838,14695,1
1839,14576,1
1840,14471,1
1841,9105,1
1842,14809,1
1843,14822,1
1844,11879,2
1845,13196,2
1846,14435,1
1847,14436,1
1848,14437,1
1849,14438,1
1850,14439,1
1851,14555,1
1852,14828,1
1853,14829,1
1854,14705,1
1855,1792,1
1856,14811,1
1857,3546,1
1858,1890,1
1859,14442,1
1860,14443,1
1861,14444,1
1862,14445,1
1863,14446,1
1864,12218,1
1865,14621,1
1866,14687,1
1867,16908,1
1868,16909,1
1869,9258,1
1870,12143,2
1871,13359,2
1872,14490,4
1873,14491,2
1874,14492,1
1875,14493,1
1876,14787,1
1877,14779,1
