namespace	ec_number
enz3098	4.1.1.29	ec_class
enz3099	4.1.1.112	ec_class
enz3100	4.1.1.31	ec_class
enz3101	4.1.1.32	ec_class
enz3102	4.1.1.33	ec_class
enz3103	4.1.1.34	ec_class
enz3104	4.1.1.35	ec_class
enz3105	4.1.1.36	ec_class
enz3106	4.1.1.37	ec_class
enz3107	4.1.1.39	ec_class
enz3108	4.1.1.4	ec_class
enz3109	4.1.1.40	ec_class
enz3110	7.2.4.3	ec_class
enz3111	4.1.1.42	ec_class
enz3112	4.1.1.43	ec_class
enz3113	4.1.1.45	ec_class
enz3114	4.1.1.46	ec_class
