namespace	strain_number
str11231	BCRC 22903	culture_number
str11231	CBS 8837	culture_number
str11231	CCRC 22903	culture_number
str11231	CCUG 32723	culture_number
str11231	CNCTC 7344	culture_number
str11231	DSM 11225	culture_number
str11231	IHEM 9559	culture_number
str11233	ATCC 14580	culture_number
str11233	BCRC 11702	culture_number
str11233	CCM 2145	culture_number
str11233	CCRC 11702	culture_number
str11233	CCT 0535	culture_number
str11233	CCT 2473	culture_number
str11233	CCUG 7422	culture_number
str11233	CECT 20	culture_number
str11233	CFBP 4227	culture_number
str11233	CGMCC 1.3649	culture_number
str11233	CIP 52.71	culture_number
str11233	DSM 13	culture_number
str11233	HAMBI 1823	culture_number
str11233	IAM 13417	culture_number
str11233	IFO 12200	culture_number
str11233	JCM 2505	culture_number
str11233	KACC 10476	culture_number
str11233	KCTC 1753	culture_number
str11233	KCTC 1918	culture_number
str11233	KCTC 3064	culture_number
str11233	LMD 50.16	culture_number
str11233	LMD 75.15	culture_number
str11233	LMG 12363	culture_number
str11233	LMG 12407	culture_number
str11233	LMG 6933	culture_number
str11233	NBRC 12200	culture_number
str11233	NCAIM B.01080	culture_number
str11233	NCAIM B.01470	culture_number
str11233	NCAIM B.02069	culture_number
str11233	NCCB 50016	culture_number
str11233	NCCB 75015	culture_number
str11233	NCDO 1772	culture_number
str11233	NCFB 1772	culture_number
str11233	NCIB 9375	culture_number
str11233	NCIMB 9375	culture_number
str11233	NCTC 10341	culture_number
str11233	NRRL NRS-1264	culture_number
str11233	VKM B-511	culture_number
str11233	VTT E-95571	culture_number
str11234	ATCC 19977	culture_number
str11234	CCUG 20993	culture_number
str11234	CCUG 27982	culture_number
str11234	CIP 104536	culture_number
str11234	CNCTC 7261	culture_number
str11234	DSM 43491	culture_number
str11234	DSM 44196	culture_number
str11234	JCM 13569	culture_number
str11234	NCTC 13031	culture_number
str11237	CECT 8666	culture_number
str11239	ATCC 50156	culture_number
str1125	CGMCC 4.3508	culture_number
str1125	DSM 45048	culture_number
str1125	JCM 14879	culture_number
str11255	DSM 22749	culture_number
str11260	LMG 21967	culture_number
str11261	ATCC 27329	culture_number
str11261	BCRC 17094	culture_number
str11261	CCM 4461	culture_number
str11261	CCRC 17094	culture_number
str11261	CCUG 55904	culture_number
str11261	CIP 101128	culture_number
str11261	DSM 1819	culture_number
str11261	IAM 12098	culture_number
str11261	IFO 15690	culture_number
str11261	JCM 2831	culture_number
str11261	LMG 2269	culture_number
str11261	NBRC 15690	culture_number
str11261	NCIB 10815	culture_number
str11261	NCIMB 10815	culture_number
str11261	VKM B-2144	culture_number
str11266	ATCC 43587	culture_number
str11266	CGMCC 1.2516	culture_number
str11266	DSM 3638	culture_number
str11266	JCM 8422	culture_number
str11267	KCTC 12020	culture_number
str11268	CCAP 219/2	culture_number
str11273	CECT 11831	culture_number
str11286	CIP 107776	culture_number
str11290	ATCC 25905	culture_number
str11290	DSM 1728	culture_number
str11290	IFO 15155	culture_number
str11290	JCM 9062	culture_number
str11290	NBRC 15155	culture_number
str11293	ATCC 27360	culture_number
str11293	ATCC 33909	culture_number
str11293	BCRC 17037	culture_number
str11293	CCRC 17037	culture_number
str11293	CGMCC 1.2370	culture_number
str11293	DSM 639	culture_number
str11293	IFO 15157	culture_number
str11293	JCM 8929	culture_number
str11293	KCTC 2506	culture_number
str11293	KCTC 4001	culture_number
str11293	NBRC 15157	culture_number
str11293	NCIB 11770	culture_number
str11293	NCIMB 11770	culture_number
str11294	DSM 19572	culture_number
str11299	CRBIP 3.21	culture_number
str113	CCUG 35451	culture_number
str11303	DSM 1241	culture_number
str11308	ATCC BAA-494	culture_number
str11309	ATCC 50299	culture_number
str1131	NCIM 565	culture_number
str11314	ATCC 23278	culture_number
str11314	CECT 4721	culture_number
str11314	KCTC 3092	culture_number
str11314	LMG 11326	culture_number
str11314	NCDO 1694	culture_number
str11314	NCFB 1694	culture_number
str11314	NCIMB 701694	culture_number
str11314	NRRL B-3473	culture_number
str11316	AS 2.1847	culture_number
str11316	ATCC 9058	culture_number
str11316	BCRC 20862	culture_number
str11316	CBS 2021	culture_number
str11316	CCRC 20862	culture_number
str11316	CCT 1890	culture_number
str11316	CGMCC 2.1500	culture_number
str11316	CGMCC 2.1802	culture_number
str11316	CGMCC 2.1847	culture_number
str11316	IAM 4974	culture_number
str11316	IFO 0566	culture_number
str11316	IFO 1062	culture_number
str11316	JCM 1606	culture_number
str11316	NBRC 0566	culture_number
str11316	NBRC 1062	culture_number
str11316	NCIM 3126	culture_number
str11316	NRRL Y-488	culture_number
str11318	DSM 13275	culture_number
str11318	JCM 10541	culture_number
str11318	KCTC 13902	culture_number
str11319	CCUG 45367	culture_number
str11319	CIP 106689	culture_number
str11319	DSM 15053	culture_number
str11319	JCM 10539	culture_number
str11323	ATCC 14940	culture_number
str11323	BCRC 14487	culture_number
str11323	CCM 6065	culture_number
str11323	CCRC 14487	culture_number
str11323	DSM 934	culture_number
str11323	JCM 1297	culture_number
str11323	LMG 28908	culture_number
str11323	VTT E-981051	culture_number
str11332	ATCC 50803	culture_number
str11333	ATCC 7065	culture_number
str11333	ATCC 8036	culture_number
str11333	CGMCC 1.1171	culture_number
str11334	ATCC 102	culture_number
str11334	ATCC 4527	culture_number
str11334	ATCC 8243	culture_number
str11334	ATCC 9789	culture_number
str11334	ATCC 9800	culture_number
str11334	BCRC 11718	culture_number
str11334	CCM 2205	culture_number
str11334	CCRC 11718	culture_number
str11334	CCUG 26005	culture_number
str11334	CCUG 26006	culture_number
str11334	CDBB 30	culture_number
str11334	DSM 46308	culture_number
str11334	DSM 8785	culture_number
str11334	IFO 12195	culture_number
str11334	IFO 12196	culture_number
str11334	IMET 11025	culture_number
str11334	KCTC 1659	culture_number
str11334	LMD 49.3	culture_number
str11334	LMG 12244	culture_number
str11334	LMG 7558	culture_number
str11334	NBIMCC 1368	culture_number
str11334	NBRC 12195	culture_number
str11334	NBRC 12196	culture_number
str11334	NCCB 49003	culture_number
str11334	NCDO 735	culture_number
str11334	NCDO 835	culture_number
str11334	NCFB 735	culture_number
str11334	NCFB 835	culture_number
str11334	NCIB 6346	culture_number
str11334	NCIB 8059	culture_number
str11334	NCIB 8061	culture_number
str11334	NCIM 2051	culture_number
str11334	NCIM 2325	culture_number
str11334	NCIM 2471	culture_number
str11334	NCIM 2536	culture_number
str11334	NCIM 2715	culture_number
str11334	NCIMB 6346	culture_number
str11334	NCIMB 8059	culture_number
str11334	NCIMB 8061	culture_number
str11334	NCTC 2586	culture_number
str11334	NCTC 6346	culture_number
str11334	NRRL B-358	culture_number
str11334	NRRL B-642	culture_number
str11334	NRRL NRS-243	culture_number
str11334	VKM B-17	culture_number
str11334	VKM B-433	culture_number
str11336	ATCC 12140	culture_number
str11336	IFO 14358	culture_number
str11336	NBRC 14358	culture_number
str11339	ATCC 15841	culture_number
str11339	BCRC 14710	culture_number
str11339	CCRC 14710	culture_number
str11342	ATCC BAA-918	culture_number
str11342	JCM 12380	culture_number
str11345	ATCC 14909	culture_number
str11345	BCRC 11893	culture_number
str11345	BCRC 13909	culture_number
str11345	CCM 2655	culture_number
str11345	CCRC 11893	culture_number
str11345	CCRC 13909	culture_number
str11345	CCUG 1425	culture_number
str11345	CECT 310	culture_number
str11345	CECT 7784	culture_number
str11345	CECT 929	culture_number
str11345	CFBP 2437	culture_number
str11345	CGMCC 1.1805	culture_number
str11345	CGMCC 1.3361	culture_number
str11345	CIP 101034	culture_number
str11345	CNCTC 5784	culture_number
str11345	DSM 50342	culture_number
str11345	IAM 12411	culture_number
str11345	IFO 14159	culture_number
str11345	IMET 11155	culture_number
str11345	JCM 20561	culture_number
str11345	JCM 5967	culture_number
str11345	LMD 76.44	culture_number
str11345	LMG 1224	culture_number
str11345	LMG 2120	culture_number
str11345	NBIMCC 2453	culture_number
str11345	NBRC 14159	culture_number
str11345	NCAIM B.02011	culture_number
str11345	NCCB 76044	culture_number
str11345	NCIB 9945	culture_number
str11345	NCIMB 9945	culture_number
str11345	NCPPB 1970	culture_number
str11345	NCTC 10367	culture_number
str11345	VKM B-2171	culture_number
str11346	ATCC BAA-912	culture_number
str11346	DSM 7471	culture_number
str11348	NCIMB 13054	culture_number
str1135	CCUG 31038	culture_number
str11350	BCRC 16841	culture_number
str11350	CCRC 16841	culture_number
str11350	CIP 109381	culture_number
str11350	DSM 44928	culture_number
str11350	JCM 14897	culture_number
str11350	NBRC 102108	culture_number
str11350	NRRL B-24433	culture_number
str11351	ATCC 19995	culture_number
str11351	CBS 141.67	culture_number
str11351	CBS 162.64	culture_number
str11351	CECT 3319	culture_number
str11351	CECT 7278	culture_number
str11351	CIP 105592	culture_number
str11351	DSM 43183	culture_number
str11351	HAMBI 1549	culture_number
str11351	IAM 14296	culture_number
str11351	IFO 15933	culture_number
str11351	IMET 9551	culture_number
str11351	JCM 3096	culture_number
str11351	KACC 20052	culture_number
str11351	KCTC 9072	culture_number
str11351	NBIMCC 3643	culture_number
str11351	NBRC 15933	culture_number
str11351	NCIMB 10081	culture_number
str11355	ATCC BAA-1116	culture_number
str11358	CRBIP 22.53	culture_number
str11360	ATCC 25083	culture_number
str11360	ATCC 33096	culture_number
str11360	DSM 2028	culture_number
str11360	DSM 2489	culture_number
str11360	JCM 16534	culture_number
str11361	ATCC 35074	culture_number
str11361	BCRC 17161	culture_number
str11361	BCRC 17377	culture_number
str11361	CCM 2703	culture_number
str11361	CCRC 17161	culture_number
str11361	CCRC 17377	culture_number
str11361	CCUG 50161	culture_number
str11361	DSM 20540	culture_number
str11361	HAMBI 2066	culture_number
str11361	IAM 12141	culture_number
str11361	IFO 15345	culture_number
str11361	JCM 6276	culture_number
str11361	NBRC 101906	culture_number
str11361	NBRC 15345	culture_number
str11361	NCIMB 13154	culture_number
str11361	VKM AC-1939	culture_number
str11366	ATCC 35583	culture_number
str11366	DSM 2078	culture_number
str11366	JCM 9277	culture_number
str11366	NBRC 100435	culture_number
str1137	CCM 2539	culture_number
str1137	IAM 14190	culture_number
str1137	IFO 15320	culture_number
str1137	JCM 2585	culture_number
str1137	NBRC 15320	culture_number
str11370	AS 2.1848	culture_number
str11370	ATCC 6260	culture_number
str11370	ATCC 7350	culture_number
str11370	BCC 5389	culture_number
str11370	CBS 566	culture_number
str11370	CCUG 38854	culture_number
str11370	CECT 1020	culture_number
str11370	CGMCC 2.1801	culture_number
str11370	CGMCC 2.1848	culture_number
str11370	CLIB 186	culture_number
str11370	DBVPG 6140	culture_number
str11370	DSM 6381	culture_number
str11370	IFO 10279	culture_number
str11370	JCM 1539	culture_number
str11370	KCTC 7144	culture_number
str11370	KCTC 7211	culture_number
str11370	KCTC 7684	culture_number
str11370	MUCL 29837	culture_number
str11370	NBRC 10279	culture_number
str11370	NCAIM Y.01050	culture_number
str11370	NRRL Y-324	culture_number
str11370	NRRL Y-6889	culture_number
str11370	UAMH 10405	culture_number
str11371	ATCC 34438	culture_number
str11371	BCRC 20467	culture_number
str11371	CBS 4732	culture_number
str11371	CCRC 20467	culture_number
str11371	CCT 0782	culture_number
str11371	CECT 11077	culture_number
str11371	CECT 11080	culture_number
str11371	CLIB 421	culture_number
str11371	DSM 70277	culture_number
str11371	IAM 12895	culture_number
str11371	IFO 1476	culture_number
str11371	IHEM 6805	culture_number
str11371	JCM 3621	culture_number
str11371	KCTC 7123	culture_number
str11371	KCTC 7538	culture_number
str11371	KCTC 7790	culture_number
str11371	MUCL 27761	culture_number
str11371	NBRC 1476	culture_number
str11371	NCYC 1457	culture_number
str11371	NCYC 1502	culture_number
str11371	NRRL Y-5445	culture_number
str11372	ATCC 8585	culture_number
str11372	BCRC 21716	culture_number
str11372	CBS 2359	culture_number
str11372	CCRC 21716	culture_number
str11372	CECT 1931	culture_number
str11372	CLIB 209	culture_number
str11372	DBVPG 6725	culture_number
str11372	DBVPG 6731	culture_number
str11372	DBVPG 6833	culture_number
str11372	DSM 70799	culture_number
str11372	FRR 1337	culture_number
str11372	IAM 12492	culture_number
str11372	IFO 1267	culture_number
str11372	IFO 1902	culture_number
str11372	JCM 22014	culture_number
str11372	KCTC 7133	culture_number
str11372	KCTC 7139	culture_number
str11372	KCTC 7153	culture_number
str11372	MUCL 28767	culture_number
str11372	NBIMCC 1631	culture_number
str11372	NBRC 1267	culture_number
str11372	NBRC 1902	culture_number
str11372	NCAIM Y.00257	culture_number
str11372	NCAIM Y.00584	culture_number
str11372	NCIM 3551	culture_number
str11372	NCIM 3566	culture_number
str11372	NCYC 1368	culture_number
str11372	NRRL Y-1140	culture_number
str11372	VKM Y-61174	culture_number
str11372	VTT C-81104	culture_number
str11375	ATCC BAA-334	culture_number
str11376	ATCC 27210	culture_number
str11376	BCRC 17662	culture_number
str11376	CCRC 17662	culture_number
str11376	DSM 20455	culture_number
str11376	JCM 14654	culture_number
str11376	NCDO 2250	culture_number
str11377	ACM 1145	culture_number
str11377	ACM 4768	culture_number
str11377	ACM 5196	culture_number
str11377	ATCC 25285	culture_number
str11377	BCRC 10620	culture_number
str11377	CCM 4712	culture_number
str11377	CCRC 10620	culture_number
str11377	CCUG 38583	culture_number
str11377	CCUG 4856	culture_number
str11377	CIP 77.16	culture_number
str11377	CNCTC 5632	culture_number
str11377	DSM 2151	culture_number
str11377	JCM 11019	culture_number
str11377	KCTC 2609	culture_number
str11377	KCTC 3688	culture_number
str11377	KCTC 5013	culture_number
str11377	LMG 10263	culture_number
str11377	LMG 11261	culture_number
str11377	NCDO 2217	culture_number
str11377	NCTC 9343	culture_number
str11377	VTT E-022248	culture_number
str11382	CCUG 55495	culture_number
str11382	CIP 109462	culture_number
str11382	DSM 17290	culture_number
str11382	JCM 13490	culture_number
str11383	ATCC BAA-1201	culture_number
str11384	ATCC 4412	culture_number
str11384	CCM 1913	culture_number
str11384	CECT 203	culture_number
str11384	LMG 3859	culture_number
str11384	NCIB 8003	culture_number
str11384	NCIM 2452	culture_number
str11384	NCIMB 8003	culture_number
str11389	ATCC 9614	culture_number
str11389	CCUG 36819	culture_number
str11389	CECT 875	culture_number
str11389	CGMCC 1.2231	culture_number
str11389	CIP 103027	culture_number
str11389	DSM 4902	culture_number
str11389	LMG 16424	culture_number
str11389	LMG 17740	culture_number
str11389	NCDO 853	culture_number
str11389	NCFB 853	culture_number
str11389	NCIB 8099	culture_number
str11389	NCIMB 8099	culture_number
str11393	DSM 980	culture_number
str11396	ATCC 29757	culture_number
str11398	ATCC 12472	culture_number
str11398	BCRC 10636	culture_number
str11398	CBMAI 305	culture_number
str11398	CCRC 10636	culture_number
str11398	CCUG 213	culture_number
str11398	CECT 494	culture_number
str11398	CIP 103350	culture_number
str11398	DSM 30191	culture_number
str11398	IAM 12470	culture_number
str11398	ICMP 8644	culture_number
str11398	IFO 12614	culture_number
str11398	IMI 185481	culture_number
str11398	JCM 1249	culture_number
str11398	KCTC 2897	culture_number
str11398	LMD 80.6	culture_number
str11398	LMG 1267	culture_number
str11398	NBRC 12614	culture_number
str11398	NCCB 80006	culture_number
str11398	NCIB 9131	culture_number
str11398	NCIMB 9131	culture_number
str11398	NCTC 9757	culture_number
str11398	VTT E-082793	culture_number
str11399	ATCC 12473	culture_number
str11399	CCM 160	culture_number
str11399	CCUG 2344	culture_number
str11399	CECT 946	culture_number
str11399	CGMCC 1.2308	culture_number
str11399	CIP 103349	culture_number
str11399	DSM 1522	culture_number
str11399	DSM 30192	culture_number
str11399	HAMBI 1919	culture_number
str11399	IAM 13948	culture_number
str11399	JCM 9043	culture_number
str11399	KCTC 2898	culture_number
str11399	LMD 80.3	culture_number
str11399	LMG 2892	culture_number
str11399	LMG 3917	culture_number
str11399	LMG 6034	culture_number
str11399	NCCB 80003	culture_number
str11399	NCIB 9130	culture_number
str11399	NCIMB 9130	culture_number
str11399	NCTC 9796	culture_number
str11399	VKM B-1223	culture_number
str1140	AS 4.1591	culture_number
str1140	ATCC 23880	culture_number
str1140	BCRC 15131	culture_number
str1140	CBS 660.68	culture_number
str1140	CCRC 15131	culture_number
