namespace	strain_number
str10291	CGMCC 1.2231	culture_number
str10291	CIP 103027	culture_number
str10291	DSM 4902	culture_number
str10291	LMG 16424	culture_number
str10291	LMG 17740	culture_number
str10291	NCDO 853	culture_number
str10291	NCFB 853	culture_number
str10291	NCIB 8099	culture_number
str10291	NCIMB 8099	culture_number
str1030	BCRC 17345	culture_number
str1030	CCRC 17345	culture_number
str1030	CIP 107805	culture_number
str1030	DSM 15491	culture_number
str1030	JCM 11236	culture_number
str1030	KCTC 3745	culture_number
str10300	ATCC BAA-344	culture_number
str10300	BCRC 17600	culture_number
str10300	CCRC 17600	culture_number
str10300	CECT 7027	culture_number
str10300	DSM 14800	culture_number
str10300	JCM 18046	culture_number
str10300	KCTC 3811	culture_number
str10300	LMG 21948	culture_number
str10300	VTT E-032355	culture_number
str10303	ATCC 27009	culture_number
str10303	BCRC 14685	culture_number
str10303	CCRC 14685	culture_number
str10303	CCT 2490	culture_number
str10303	CCUG 28521	culture_number
str10303	CECT 4328	culture_number
str10303	CIP 106131	culture_number
str10303	DSM 446	culture_number
str10303	HAMBI 2071	culture_number
str10303	HAMBI 2073	culture_number
str10303	IFO 15652	culture_number
str10303	IMET 11356	culture_number
str10303	JCM 5260	culture_number
str10303	KCTC 1825	culture_number
str10303	LMD 89.167	culture_number
str10303	LMG 7119	culture_number
str10303	NBRC 15652	culture_number
str10303	NCCB 89167	culture_number
str10303	NCIB 11725	culture_number
str10303	NCIMB 11725	culture_number
str10303	NRRL B-14509	culture_number
str10304	ATCC 53795	culture_number
str10304	ATCC BAA-244	culture_number
str10304	CCUG 44356	culture_number
str10304	CIP 107266	culture_number
str10304	DSM 16087	culture_number
str10304	KCTC 12943	culture_number
str10304	LMG 19182	culture_number
str10304	NCPPB 4421	culture_number
str10304	NRRL B-23395	culture_number
str10308	ATCC 2527	culture_number
str10308	BCRC 21418	culture_number
str10308	CBS 108	culture_number
str10308	CBS 20	culture_number
str10308	CCRC 21418	culture_number
str10308	CDBB 696	culture_number
str10308	CECT 10143	culture_number
str10308	DBVPG 6081	culture_number
str10308	IAM 14113	culture_number
str10308	IAM 14386	culture_number
str10308	IFO 1125	culture_number
str10308	JCM 8208	culture_number
str10308	KCTC 1736	culture_number
str10308	KCTC 7948	culture_number
str10308	MUCL 30012	culture_number
str10308	MUCL 30253	culture_number
str10308	NBRC 1125	culture_number
str10308	NCAIM Y.01235	culture_number
str10308	NCYC 2666	culture_number
str10308	NRRL Y-2502	culture_number
str10308	VKM Y-332	culture_number
str10308	VTT C-01410	culture_number
str10309	DSM 3822	culture_number
str10309	JCM 9188	culture_number
str10312	ACM 5183	culture_number
str10312	ATCC 700819	culture_number
